Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Number of Bits","Number of Channels","Power (Watts)","Voltage - Supply, Analog","Voltage - Supply, Digital","Mounting Type","Package / Case","Supplier Device Package","Grade","Qualification"
"https://www.ti.com/lit/ds/symlink/afe432a3w.pdf?ts=1702924974493&ref_url=https%253A%252F%252Fwww.ti.com%252Fsitesearch%252Fen-us%252Fdocs%252Funiversalsearch.tsp%253FlangPref%253Den-US%2526searchTerm%253DAFE432A3YBHR%2526nr%253D3","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5784/MFG_AFE432A3YBHR.jpg","296-AFE432A3YBHRTR-ND,296-AFE432A3YBHRCT-ND,296-AFE432A3YBHRDKR-ND","AFE432A3YBHR","Texas Instruments","Texas Instruments","8-BIT 300-MA CURRENT-SOURCE DAC","3,000","2.56","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","AFEx32A3W","Active","8","2","-","3V ~ 5.5V","3V ~ 5.5V","Surface Mount","16-XFBGA, DSBGA","16-DSBGA (1.62x1.62)","-","-"
"https://www.ti.com/lit/ds/symlink/afe432a3w.pdf?ts=1702924974493&ref_url=https%253A%252F%252Fwww.ti.com%252Fsitesearch%252Fen-us%252Fdocs%252Funiversalsearch.tsp%253FlangPref%253Den-US%2526searchTerm%253DAFE432A3YBHR%2526nr%253D3","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5784/MFG_AFE532A3YBHR.jpg","296-AFE532A3YBHRTR-ND,296-AFE532A3YBHRCT-ND,296-AFE532A3YBHRDKR-ND","AFE532A3YBHR","Texas Instruments","Texas Instruments","10-BIT 300-MA CURRENT-SOURCE DAC","3,000","2.83","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","AFEx32A3W","Active","10","2","-","3V ~ 5.5V","3V ~ 5.5V","Surface Mount","16-XFBGA, DSBGA","16-DSBGA (1.62x1.62)","-","-"
"https://look.ams-osram.com/m/264ac284b30311c3/original/AS7058-IC-for-PPG-ECG-and-body-impedance-measurement.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5741/MFG_AS7058.jpg","4991-AS7058-BWLMTR-ND,4991-AS7058-BWLMCT-ND,4991-AS7058-BWLMDKR-ND","AS7058-BWLM","ams-OSRAM USA INC.","ams-OSRAM USA INC.","HIGH PERFORMANCE ANALOG FRONT EN","500","3.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","20","3","-","1.7V ~ 1.98V","1.7V ~ 1.98V","Surface Mount","42-UFBGA, WLCSP","42-WLCSP (2.77x2.5)","-","-"
"https://look.ams-osram.com/m/264ac284b30311c3/original/AS7058-IC-for-PPG-ECG-and-body-impedance-measurement.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5741/MFG_AS7058.jpg","4991-AS7058A-BWLMTR-ND,4991-AS7058A-BWLMCT-ND,4991-AS7058A-BWLMDKR-ND","AS7058A-BWLM","ams-OSRAM USA INC.","ams-OSRAM USA INC.","HIGH PERFORMANCE ANALOG FRONT EN","500","3.65","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","20","3","-","1.7V ~ 1.98V","1.7V ~ 1.98V","Surface Mount","42-UFBGA, WLCSP","42-WLCSP (2.77x2.5)","-","-"
"-","-","497-TSC1641IQTTR-ND,497-TSC1641IQTCT-ND,497-TSC1641IQTDKR-ND","TSC1641IQT","STMicroelectronics","STMicroelectronics","Linear IC's","1,938","3.99","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","16","2","-","2.7V ~ 3.6V","2.7V ~ 3.6V","Surface Mount","10-DFN Exposed Pad","10-DFN (3x3)","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fopt3101","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4127/296~4220383~RHF~28.JPG","296-OPT3101RHFRTR-ND,296-OPT3101RHFRCT-ND,296-OPT3101RHFRDKR-ND","OPT3101RHFR","Texas Instruments","Texas Instruments","IC AFE 3 CHAN 16BIT 28VQFN","2,704","8.55","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","16","3","-","1.7V ~ 1.9V, 3V ~ 3.6V","1.7V ~ 1.9V","Surface Mount","28-VFQFN Exposed Pad","28-VQFN (5x4)","-","-"
"-","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1823/175%3B30WLP-.69%3B%3B30.jpg","175-MAX30002CWV+TTR-ND,175-MAX30002CWV+TCT-ND,175-MAX30002CWV+TDKR-ND","MAX30002CWV+T","Analog Devices Inc./Maxim Integrated","Analog Devices Inc./Maxim Integrated","IC AFE 1 CHAN 20BIT 30WLP","1,969","10.94","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","20","1","158 µW","1.1V ~ 2V","1.1V ~ 2V","Surface Mount","30-WFBGA, WLBGA","30-WLP (2.74x2.93)","-","-"
"https://www.analog.com/media/en/technical-documentation/data-sheets/AD5940-5941.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/306/505;-CB-56-3;-CB;-56.jpg","505-AD5940BCBZ-RL7TR-ND,505-AD5940BCBZ-RL7CT-ND,505-AD5940BCBZ-RL7DKR-ND","AD5940BCBZ-RL7","Analog Devices Inc.","Analog Devices Inc.","IC AFE 1 CHAN 16BIT 56WLCSP","1,584","11.35","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","16","1","-","2.8V ~ 3.6V","2.8V ~ 3.6V","Surface Mount","56-UFBGA, WLCSP","56-WLCSP (3.56x4.16)","-","-"
"https://www.ti.com/lit/ds/symlink/afe882h1.pdf?ts=1705614418876&ref_url=https%253A%252F%252Fwww.ti.com%252Fsitesearch%252Fen-us%252Fdocs%252Funiversalsearch.tsp%253FlangPref%253Den-US%2526searchTerm%253DAFE882H1RRUR%2526nr%253D2","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5789/296%7E4225850%7ERRU%7E24.jpg","296-AFE882H1RRURTR-ND,296-AFE882H1RRURCT-ND,296-AFE882H1RRURDKR-ND","AFE882H1RRUR","Texas Instruments","Texas Instruments","LOW-POWER AFE WITH HART , 16-BIT","3,000","12.28","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","16","2","-","1.71V ~ 1.89V, 2.7V ~ 5.5V","1.71V ~ 1.89V, 2.7V ~ 5.5V","Surface Mount","24-WFQFN","24-UQFN (4x4)","-","-"
"https://www.analog.com/media/en/technical-documentation/data-sheets/AD73360.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4904/505%7ERW-28%7ER%2C-RW%2C-S%7E28.JPG","505-AD73360ARZ-REELTR-ND,505-AD73360ARZ-REELCT-ND,505-AD73360ARZ-REELDKR-ND","AD73360ARZ-REEL","Analog Devices Inc.","Analog Devices Inc.","IC AFE 6 CHAN 16BIT 28SOIC","1,000","20.93","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","16","6","80 mW","2.7V ~ 5.5V","2.7V ~ 5.5V","Surface Mount","28-SOIC (0.295"", 7.50mm Width)","28-SOIC","-","-"
